status_id,language,sentiment,text
59559428789248000,en,positive,@eleanordann Hehee  sorryyyy! But you don't need to tan! You're beautiful the way you are 
57023916882931712,en,positive,Great Night 
58434683901448192,en,positive,@bec_luvsJB thanks for coming becks  See you soon x
49157352800264192,en,positive,10 more follow @BieberBearxD  she follows back
58424490765455360,en,positive,@MisticeFleur thx  it was good..I´ve a good feeling to get the job...hope it. just the weather was not good..it had rained the whole day
60592233929383936,en,positive,"@DrewParky Another day off to rest then dude? Take it easy, i'll check in with you after work "
57302878544596993,en,positive,@ansep ciieeee 
57926277843267584,en,positive,@skywolfangel Lmfaoo thnx anyways I'll show you the pic once I'm done 
59495554329219072,en,positive,@GottemGoinDizzy 9th 
50422779547361281,en,positive,Watching TV while updating my social networks. 
51484152125591552,en,positive,"At BW's and hey, we all ref games as fans but Bucks fans may be the least objective basketball refs to watch a game with. "
50064740201934849,en,positive,"@BrandonPDuncan @tshaka_zulu if the daughter's got a horse, I think the college funds are stacked already! Maybe he'll buy better kids? "
60507858416046080,en,positive,"Candy cabs love it, now want a pink car is that wrong? "
60239181460410368,en,positive,@IdaAnacker4526 Woops ignore the last message I didnt realising I was messaging u lol .. You alright 
59717858443272193,en,positive,Mere Saath Chalte Chalte - HDKG http://t.co/Wnerg1U Woaaah!  I remember dancing to this on a wedding -.-
50525049521840128,en,positive,"@kirsteeeeeeeeen it's the pic from last night, it's more the comment that was new n cute "
57716759700058112,en,positive,20 more sleeps until AMERICA!!!!! #excited 
58720933845807104,en,positive,feeling pretty happy about today  good night now -gggggggggggggg
62225614505127936,en,positive,"Tiramisu, strawberry's and whipped cream  http://yfrog.com/h0cbsmxj"
50695989002117120,en,positive,@sonomawinesnob @passaggio @stateofcake @RoundPond @VinoCaPisco @SavvyBabii @skyhistudios Thanks for the #winewednesday love xoxo 
58677578160017408,en,positive,"@Bellsouza oi, qnt tempo no? "
56859301666488320,en,positive,@babyshea23@knors3@schwabkabob@TheSchoeneck will I be seeing you boys at ra tonighttt? 
62054516475953152,en,positive,@realrapaholic you must go. I'll bring you there 
60461806740717568,en,positive,On my way to Steak n Nasty. Time to get this money 
61095720811376641,en,positive,@pruss How cool is that!   Thanks for the shoutout - much appreciated!
49622130597441537,en,positive,@selenagomez's video Who Says is pretty creative  loved it.
49752294325096448,en,positive,"@DenieceBaniqued really! KK, I'll follow u nalang. Basahin ko yan! "
60620378883629056,en,positive,Go go follow -&gt; @FansOfBisma for Bismaniacs  respect and peaceup guys!
49542854997049345,en,positive,@justinbieber i dedicated to you --&gt; #TheWorldIsWhitBiebs 
50882331090747392,en,positive,"@GengFanSeul  : no, no ^^~ in VietNam we have uhm... Trà Sữa , it is tea with milk ~ it's so delicious "
50188674763198465,en,positive,@AGameLasquety Thanks man! 
59567084161613824,en,positive,It is pretty warm actually. Sitting in the garden 
58403896242081792,en,positive,@air_e_yella U SHOULD..in the fall  we were in the W building today and we where checking it out
62276631422709760,en,positive,@TMcPhiZzle but not older than me.. 
57617093834715137,en,positive,Can someone help me get more followers????? You would be the best person in the whole world if you do 
61520154693087232,en,positive,@Nicola0158 Eeeeeeee thanks!  xxx
56872300225626112,en,positive,@melissafunsized awww I told yah to come! Me and michelle just wax off some 
60195608404819968,en,positive,@sarahashleyx3 I read that one a couple weeks ago 
60525739191181312,en,positive,Tangled was sooooooo good! 
59911900602974208,en,positive,@aleyajamel Thanks for reading 
60730153726259200,en,positive,"@Jun2daKAY is that shoe was ur birthday present oppa?? awww, happy belated birthday thou "
60159740193415168,en,positive,"@nickynoo_tw lol that's what I meant, can't spell tonight, smarties nomnomnom! What about toffee crisp?  xx"
51292848863186944,en,positive,"@CeceMcClean hello stacey, hope all is well with you  x"
56830489297813504,en,positive,@Louise_IFBBPro Thank you  Ben Nevis this year then 3 Peaks with Iron and Ironing Board next year 
59574740196663296,en,positive,@markspetty hi yes can whip up the on dish 
59505783469113344,en,positive,Tonight @Norbs15 let me sit on his shoulders for a good hour &amp; stayed with me the whole concert. #lovehim 
56298190122647553,en,positive,"@Forever_SHINee mind to promote us? We're SHINee fanbase from Indonesia, we aim 500 followers today, thank you "
51073484859785217,en,positive,"@collegegirl_key school Done took over my life, but now them graduation test over. . .I'm back on it "
49993234595852288,en,positive,Shoutout to @HippalCat for being my 30th follower! You just made my day 
50736774393241601,en,positive,HI NEW FOLLOWERS 
