status_id,language,sentiment,text
61065084906115073,es,positive,"@Nipponisimo dicen q mucha gente de otros países se saldan de Jpn debido al terremoto,  pero estás en Japón! qué alegria "
61466638331023360,es,positive,Hoy no como en mi casa 
59209260898332672,es,positive,@devvChandra yayayaya 
50438160487952385,es,positive,@ZuliSantos. Es la perra mas adorable  ♥
61706920188313600,es,positive,@Sabri_LaBruja Hecho! Cuidado con lo que deseas!! 
59888947978973184,es,positive,@JannisMerida ¿Cuándo estás por estas tierras? 
57778073961119744,es,positive,@aganabiyasa Iyaaaaaaa hehe. Coba tolong di promote 
61578924181827584,es,positive,Feliz día Tierra 
49076306230513664,es,positive,@TeAmoBieber follow me? 
60852781468225538,es,positive,@eGranero11 y nosotros estamos alli para recibirla...! 
48928767242027008,es,positive,@anlutdf ya se fue ace uff 
60328555715895297,es,positive,Viendo un clasico Ray Charles 
59960438489755648,es,positive,Me siento cumpleañera consorte despues de oir felicitaciones durante toda la mañana hacia @j1m1x  TWENTY
50861974984200192,es,positive,"Mañana es Viernes y tocaremos junto a @1nowayout1 en La Sala Live de Madrid.Planazo,¿no? "
56887831242608640,es,positive,@elbambino0o jejeje 
49905919164813312,es,positive,"13. Tengo Una hermana y 6 primos de parte de mi mamá,me llevo muy bien con Ceci,es como mi mejor amiga  &lt;3"
61826948527169537,es,positive,@AleNandho  ale nanado! jeje q hayas tenido un lindo dia!
62506927216791552,es,positive,"@ElFrancesderosa Hoolaaa hoolaaa, Lindo día!!!! Ya en camino??? "
51323391352909824,es,positive,y contenta 
59894056502837248,es,positive,@LiArkyDesign pues deberías echar una llamadita 
50156572738994177,es,positive,@camaygoh ya got my size!! so lucky 
57566068067155969,es,positive,@VickyGuty te amo mucho mas mi lokita 
56496353009872896,es,positive,Recién despertando 
49716601292992512,es,positive,"Parece q no, pero, Yo si puedo distinguir esta foto, lo puedes ver?  http://plixi.com/p/85712208"
58715875955580928,es,positive,Ft. @Mario_Toraya @borre_salazar @zalgado92 y beto  en el parque
50008632754061312,es,positive,@paolalc gracias 
61591670575202305,es,positive,"A mis amiguitos que están de turno, les cuento que yo no. "
58767206414155776,es,positive,"Mañana examen, y nos fuimos de vacaciones "
50359215449055232,es,positive,@mellissa_P wohooo! q padre!! ya sabes se toman fotoo!! si yo te escribo aun que no estés por aquí!! estaré al pendiente de TODO! 
51188328023867392,es,positive,Hora d jetearse.. Muy lin2 twts los d hoy! MADA: OFF AIR.                                        
49435392579080193,es,positive,"Insya alloh  &quot;@daroe_w: Prediksi skor Sunderbolong vs LFC 1 - 4 ( 2 Suarez , 1 Carroll , 1 Meireles ) #YNWA&quot;"
56952877998018560,es,positive,#informacionquecura  meterse frascos en el ano te rejuvenece 5 años!!  haganlo chavas y Gays!!
