status_id,language,sentiment,text
61157229046411264,it,positive,Ja volto 
58094829992820737,it,positive,@InnaRomania_ro Heei 
62235824896475137,it,positive,@ilovemanilerzz  no problem 
56895523310931970,it,positive,@AjdaLopes  sempre fui 
61054835004424193,it,positive,@princess21ssj mi piace spender &quot;il giusto&quot;. 
56192338401308672,it,positive,@Alison_Maravish ya t co0ntestee alii 
58935771641552896,it,positive,@carolmfreire to na praia 
50308264423985152,it,positive,@ohhmylovato OMG where?!? 
62202649025593345,it,positive,"terminei a sala, agr falta a varanda! "
62320178767212544,it,positive,@arismendif no creo papi 
49887861411028993,it,positive,@Pauli_flow  Nenaaa! necesito pedirte Un Favoor de aki al cielo 
57951764200177664,it,positive,@GabiiAcevedoo conectateee al msn! 
48847026410094592,it,positive,cheguei pitangueba 
58580202451763201,it,positive,@chico_peixoto  boooa sorteee  // sempre dá certooo rs
59124942574325760,it,positive,@andrezaliiima_ seguindo de volta 
48844496544350208,it,positive,Llegando del desfile 
50156537041264641,it,positive,"@NicolDavid 
congratz.. "
59837673837301760,it,positive,@NiaWillova NIaaaaa liat Ava gua 
56378914284650496,it,positive,@limone guck mal  http://ow.ly/4w7WM
61492176806359040,it,positive,"@boemo83 per curiosità, ma questa #giorgina dove sta?!? "
50545025536360448,it,positive,@MeriCipolletta ah ki lo dici  sarei il più bravo della lcasse
61847355019902977,it,positive,Gonna go get my fixie in a bit.once im done getting ready 
58672501823242242,it,positive,@Michi_87 ya te sigo 
59117154443853824,it,positive,@dizzienadiz NAAAAADDIZZZZZZ!!!! Happy Birthday   http://twitpic.com/4lei2l http://twitpic.com/4lei2h
49473714546417664,it,positive,@avilioj no... 
58470402237796353,it,positive,"@stizzerlad @simon_edholm14 ok, I will do one later "
51076022640193537,it,positive,"Voltei, rá "
60862971164897280,it,positive,@MaddieReneeXD 8)   :-P xP xD =p =D  x) :3 =3 x3 o.o o_O O_o x_x 7_7 D: &lt; #nolife
49134970475773952,it,positive,@FifiCoyne_RP ooc: haha 
50996975751020544,it,positive,@tony_jay_fish @berlinismydream vi trovo all'incrocio tra &quot;opinion leader&quot; e &quot;cazzone&quot;(ma della serie &quot;divertente!&quot;)...soddisfatti? 
56574338614304768,it,positive,@Piumpiumpiumm 
56744207502688256,it,positive,@InnaRomania_ro haaha heyy  ce mai faci? x
49231695253209088,it,positive,@BiancaSiarom 
56796843752951808,it,positive,☑ SolterAaaaa  ✗acceso denegado lol☂
11584672538558464,it,positive,"@BiaBarisio UAHUAHU vdd, eu gostei dela..oque ela falou de mim? "
57005592170070016,it,positive,@Ellie_White planuri mari  Care era e-mail-ul unde trebuia sa trimit request de remix ?  ca am uitat 
60106033145708544,it,positive,Found --&gt; @DreaamBieber on omegle 
57272199324774400,it,positive,@jessandco I wanna be a doggie model 
57910968528801792,it,positive,@_Natalia_7 freak 
51356500035244032,it,positive,"@diez82 #FF perchè ci scambiamo consigli su come gustare meglio il cioccolato, e io imparo sempre qualcosa "
56129722136002560,it,positive,Fuuuuui ! 
60039575053139968,it,positive,@MCRhiannon awwww.  (i)
56483305054404608,it,positive,@thaauzi xinga muito no twitter por mim 
61888124942430208,it,positive,@ferrokunii ela vai voltar 
51134490130661376,it,positive,"@karol_grazielle Olá, ouve @Garage18Oficial e segue também?!   ww.myspace.com/garage18oficial  Valeuuu! (L)  cc"
49542852350451713,it,positive,ma quindi..stasera mandano su cambio il concerto live?! 
50266215523950592,it,positive,@FatmaAlMazrooei go die in a hole 
62391898660282368,it,positive,@Adrisonica ok lo mismo digo 
57132560895062016,it,positive,@jeronitelemark Ben fet!! #quenaprenguin!! 
56879921624121344,it,positive,hoy fui a  primera junta de @MileyCyrusChile hapy... 
57522682429837312,it,positive,#gol del #liverpool gol de #carrhol 
56103477230829568,it,positive,@NickGnd ma si non ha una maschera  dice quello che pensa e basta  ti ci sei già scontrato per questo  ma non è impazzita!!
59329261626081280,it,positive,Ya tengo uno + para mi coleccion d #Roxette (en si 2 cd m vinieron)  http://twitpic.com/4lo9aa
50675500787568641,it,positive,SEGUINDO @na_temporini   de volta 
56603807873904640,it,positive,@dickymprasetyo menarsis lagii  http://plixi.com/p/90778368
60543646109409280,it,positive,@YungCoccyFella welcome 
50655119527784448,it,positive,@umutto hurremin dialoglarina bak yeter 
60472072555593728,it,positive,Chegandooo Akiie 
56465205777014787,it,positive,UGH OH...spaghetti ohs.... 
60995961329160192,it,positive,@___Stronger Tutto bene  Che fai?
56833044270686208,it,positive,@YesColirios to Seguindo @vitortorezani    hehe
50354132367843328,it,positive,"@JebusCL ergo, sugiero que le tomes una alcoholemia "
49117138115502080,it,positive,Vou lá embaixo comer kk ja volto 
59722952509374464,it,positive,:O chocolate?! 
50859453188280320,it,positive,Vado con la messa in opera della ricetta dei cupcakes.. del resto questi giorni in &quot;forzata ferma&quot; li devo far fruttare 
49157374753259520,it,positive,@LoveJustinxs ahhaha lol  Nice icon baby!
62051943236902912,it,positive,@Abu3bdallah Information Technology (IT) 
50305702673137664,it,positive,@UnicornioBieber  mando siim   @Mepegajuju
49650201970999297,it,positive,@Parababi forever alone 
50678054208536576,it,positive,@ricardo_vega te la arruinooooo?? 
