status_id,language,sentiment,text
51218884396716032,pl,positive,"Jako, że jest piątek, to zapraszamy do obejrzenia filmu  http://fb.me/NEUrN5fi"
49775154556968960,pl,positive,"Supeer  jeste jedna hodina a jde se domuu  skoda, ze posledni hodina je matika "
49014951771250688,pl,positive,"@kama_k Witam Damę Kamę, czapką podłogę zamiatając w ukłonie głęboki "
49517031913037824,pl,positive,@biebersdear ciesze się 
62764975881592832,pl,positive,@Rosejosie ja daszow 
59664212959559680,pl,positive,@aworqlahh aworq2!!!!! 
60276917080834048,pl,positive,"To se může stát jen @jirimelcak, že mi posílá zaláskovanou DM přes twitter a pošle ji prvnímu followerovi (chlapovi), co běží kolem "
60241744821886976,pl,positive,@playful_swagg aha &gt;___&lt; wyd.? 
51504199900479488,pl,positive,@daganizzle 'twas funny  lol
48913215723274240,pl,positive,@nanizniz cek DM ya! 
50276408894820354,pl,positive,@brandy_alex отрастай 
60139269355864064,pl,positive,@kiiiru obgg 
50540468731260928,pl,positive,@rochio_cm ahh okii  la buskre.. grax 
51366453621948417,pl,positive,"@CentrumFFJB Ok ok, czekam "
59656501131886592,pl,positive,wywaliłam z siebie emocje i już mi pare followersów przybyło.  ale... co mi tam zależy.  pff .
50166784803868673,pl,positive,http://bit.ly/icotJU - Autokorrektur. 
56363365165056000,pl,positive,Nisu je lako odabrati: biras neku od praznih 
61658243117760512,pl,positive,@abyanbramantyo maaci abyyy aminn 
57517578683293696,pl,positive,siemcia ! 
49626884635508737,pl,positive,Crl ta zika o role hj 
50621420602011648,pl,positive,@NacNice nm yuu. 
57107506337546240,pl,positive,@CarameloSueno to jak dostaniesz od razu link tu prosze dac  zazdroszce aaaa na pewno byl boski skoro hiszpan xD
59705043586260992,pl,positive,úr isten Jerzy ment vissza!!!!! 
59567095914037248,pl,positive,"@zazAdzania ,, nnt qt blj via ‎​ввм y :* .. Libur dlu y konfrens w/ @Nadacintaa @billaa190790 "
57713994693218304,pl,positive,@sadmanh okie dokie..bye 
60003748088524801,pl,positive,Nada  Ok Nada 
57005506769862657,pl,positive,Photo: YUMMY  http://tumblr.com/xek229do9e
51468792424964097,pl,positive,"amigas em csa,taty e kryss "
57553306406490112,pl,positive,@jjaby16 
62187212158156800,pl,positive,@Leanuccia Ahhh ok 
11640644418142208,pl,positive,"lg d toko , pngn jaga toko dlu , wkwk "
56681677002510336,pl,positive,"duCh rok0k.a abie5 Lg niCh,, pd4haL mu bok3r gy,, wkakaka "
48377012062134272,pl,positive,"&lt;allegro&gt; Sprzedam karabin francuski z II wojny światowej. Nie używany, raz rzucony na ziemię. "
60279697933746176,pl,positive,"@BranciKovac je to mozne, mne to znelo uplne identicky ale ty mas urcite lepsie info "
58710786062819328,pl,positive,@elizam75 
49639867981889536,pl,positive,im funny im funny yes 
61635218712436736,pl,positive,@luanlegacy win epic win  ;)
62337958916788224,pl,positive,@jazzy5680 now u got 2 followerz 
59027652182421504,pl,positive,@Gaby_GD 
60031863229657088,pl,positive,"@Myska_ @paulinecarlitos  no to faktycznie się nie opłaca, mam nadzieję, że z berlinem ci wypali "
49957173576470528,pl,positive,@Josiestweet Can't wait for OK mag tomorrow!  xx
61765650934284288,pl,positive,@bizzsjfc Aye twice 
58107468835860480,pl,positive,@AnnlovesJBieebs Ale z czym okej.? 
59847545756712960,pl,positive,@JAVIERGMONTEZ :O fiu fiu q guapiz  muchoo éxito
59687177042407425,pl,positive,#nowfollowing @JfknNASTY #TFB 
56746817437708288,pl,positive,Done! MU 2 - 0 Fulham..Glory Glory MU! Nite2 all 
62079829457108992,pl,positive,ayeee masku janjiin aku lensa uwowowowowowo 
59091352524300288,pl,positive,@pikach0de 
56929094851510272,pl,positive,i want to swim .. 
49560671901335552,pl,positive,@jemini2009 Wooo okay babe  &lt;3
51323389817790465,pl,positive,@iamWIWIE TOMOOOOOOOOOO! 
56908299026694144,pl,positive,ESPN MLB - FINAL - NYM 8 WAS 4 - WP: NYM C Capuano (1-0) LP: WAS T Gorzelanny (0-1) SV: NYM F Rodriguez (1)  
58276196324093952,pl,positive,@PaulieKoch  W0ULD Y0U LIK3 T0 F0LL0W M3?! 
59408493140119552,pl,positive,@JUDY_Lawinski yea.. 
50237025026191360,pl,positive,lunch break!! 
60625156325912576,pl,positive,@BabyGrace 
62355795760791552,pl,positive,@katostephie i just do it to bug my mama 
59163139408797696,pl,positive,@gosia_the_great w każdym razie dzięki za info 
59613010314002433,pl,positive,@MiskoBobic ako ih to ne otera ništa drugo neće 
61098184272916481,pl,positive,@GOOD Oprah 
50838742029713408,pl,positive,http://blip.pl/s/404836417 o mamo! słodziak   http://rdir.pl/_roG1z
51427932001931265,pl,positive,@__Lu__Lu__ yayyyyyyy 
60180295068033024,pl,positive,@yoniegirl201 kk 
59234781472358400,pl,positive,@WeAreRizkiers @cwe_95 anak mana niie 
62793236678324224,pl,positive,"#PolishBeliebers #KidrauhlToPoland Dziewczyny, zrobiłam ikonkę  Już dużo osób ją ma... Możecie ode mnie ściągnąć! &lt;3 AWW C'MON!"
49890468066103297,pl,positive,@nickole_lelosaa no prob 
49147616805650433,pl,positive,@Maxie5591 ok 
58084602375454720,pl,positive,Wihiii! 
49045572522487808,pl,positive,"Dluan aja follow ak , ntr ku follback  @augustio_boy @nieno_ardian @Irwan_Dodak @ArroMay @dika_m2p @Alhud89 @andypramana39 @Musa_krypton"
58692751889408000,pl,positive,@bkashawna Okayy 
60295315684724736,pl,positive,A moze tak na chwilke chociaz uciec i wystawić mordke do słońca ? 
57558250698194944,pl,positive,@BroadwayGirlNYC Good luck 
62680450082160640,pl,positive,Hi I'm ron jeremy  !
60244300000276480,pl,positive,Wowowo . . #BID ► Batman is dead 
57458753661968384,pl,positive,@xia0yu okay.. 
50902631064936448,pl,positive, @zarshane
49619162443694080,pl,positive,@HodaRagab LOL 7ader! 3araby wala agnaby ??! 
50458730147487745,pl,positive,"ha, yor a funny baby! .. "
58245603641139201,pl,positive,@jyruswood 
50907763362103296,pl,positive,@fremde zapowiada sie pocieszny pierwszy semestr z Toba na Uni. Ciekawe czy pobijesz moje akcje i madre teksty 
50575730173689856,pl,positive,"@sandradryjaxX kup sobie  ja pobiegłam od razu po szkole, haha ;)"
60405484276023298,pl,positive,Watching #TOWIE 
57875181670117376,pl,positive,Szymek. ^^ 
60443767127289856,pl,positive,@MrsAngel9595 http://allegro.pl/show_item.php?item=1572858075 - jak mzoesz wklej go na twittera  pomożesz mi
56809742022082561,pl,positive,windows downnnn! 
51303029848289281,pl,positive,"@ivabeonline żyję, byłam nawet na wszystkich lekcjach. XD cud na Odrą.  a na wolnej lekcji poszłam do domu na obiad, a potem wróciłam."
60612545244958721,pl,positive,@chitrairachitra @funnyfunky cek DM 
56248144823975936,pl,positive,Fuji w/mom  http://yfrog.com/hs31jpdj
61264401117880320,pl,positive,@kalyprz siiii!!!! 
61898140013432832,pl,positive,@gRzEgOrZlUb Tak to to gorsze zło 
61954434560823296,pl,positive,@ohjahahaaamie pick a date pick a date apilon nato kat 
58984268667424769,pl,positive,@Stephaniaxox okay. 
